"option_d_uk","question_ru","option_b_uk","correct_answer","option_a_en","question_pl","option_b_ru","option_c_uz","option_d_ru","option_a_uz","option_c_en","option_b_pl","option_d_pl","question_en","option_c_uk","question_uz","option_a_uk","option_b_en","option_d_uz","option_a_ru","option_c_ru","option_d_en","option_b_uz","question_uk","option_c_pl","option_a_pl","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Походам Тимура","Басмаческое движение 1920-х годов представляло собой вооружённое сопротивление против чего?","Завоюванню Російською імперією в 1860-х роках","A","The establishment of Soviet rule in Central Asia","Ruch basmaczy z lat 20. XX wieku był zbrojnym oporem przeciwko czemu?","Завоеванию Российской империей в 1860-х годах","Mo'g'ullar bosqini","Походам Тимура","Markaziy Osiyoda Sovet hokimiyatining o'rnatilishi","The Mongol invasion","Podbojowi przez Imperium Rosyjskie w latach 60. XIX wieku","Kampaniom Timura","The Basmachi movement of the 1920s was an armed resistance against what?","Монгольській навалі","1920-yillardagi bosmachilik harakati nimaga qarshi qurolli qarshilik edi?","Встановленню радянської влади в Центральній Азії","The Russian Empire's conquest in the 1860s","Temur yurishlari","Установлению советской власти в Центральной Азии","Монгольскому нашествию","Timur's campaigns","Rossiya imperiyasining 1860-yillardagi bosqinchiligi","Басмацький рух 1920-х років являв собою збройний опір проти чого?","Najazdowi mongolskiemu","Ustanowieniu władzy radzieckiej w Azji Środkowej","97d0c115ccdb40eb83719034","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Кінорежисером","Шараф Рашидов, руководивший Советским Узбекистаном более двух десятилетий, был также известен какой другой профессией?","Композитором","A","Writer (novelist)","Szaraf Raszydow, który przez ponad dwie dekady kierował Radziecką Uzbekistanem, był znany również z jakiego innego zawodu?","Композитором","Arxitektor","Кинорежиссёром","Yozuvchi (romannavis)","Architect","Kompozytorem","Reżyserem filmowym","Sharof Rashidov, who led Soviet Uzbekistan for over two decades, was also known for what other profession?","Архітектором","Sovet O'zbekistonini yigirma yildan ortiq boshqargan Sharof Rashidov yana qaysi kasbi bilan tanilgan edi?","Письменником (романістом)","Composer","Kinorejissyor","Писателем (романистом)","Архитектором","Film director","Bastakor","Шараф Рашидов, який керував Радянським Узбекистаном понад два десятиліття, був також відомий якою іншою професією?","Architektem","Pisarzem (powieściopisarzem)","846424c1d40b4f769613e7d8","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Туркменістаном","Сох, крупнейший территориальный эксклав Узбекистана, полностью окружён территорией какой соседней страны?","Таджикистаном","A","Kyrgyzstan","Sokh, największa eksklawa terytorialna Uzbekistanu, jest całkowicie otoczona przez które sąsiednie państwo?","Таджикистаном","Qozog'iston","Туркменистаном","Qirg'iziston","Kazakhstan","Tadżykistanem","Turkmenistanem","Sokh, the largest of Uzbekistan's territorial exclaves, is entirely surrounded by which neighboring country?","Казахстаном","O'zbekistonning eng katta hududiy eksklavi bo'lgan Sox to'liq qaysi qo'shni davlat hududi bilan o'ralgan?","Киргизстаном","Tajikistan","Turkmaniston","Киргизией","Казахстаном","Turkmenistan","Tojikiston","Сох, найбільший територіальний ексклав Узбекистану, повністю оточений територією якої сусідньої країни?","Kazachstanem","Kirgistanem","69979f72220a466893557df8","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Не мати сухопутного кордону з жодною іншою центральноазійською країною","Узбекистан уникален в Центральной Азии тем, что является единственной страной региона, которая делает что?","Мати вихід до Каспійського моря","A","Border all four other Central Asian countries","Uzbekistan jest wyjątkowy w Azji Środkowej, będąc jedynym krajem w regionie, który robi co?","Иметь выход к Каспийскому морю","Barcha qo'shnilaridan farqli rasmiy alifbodan foydalanish","Не иметь сухопутной границы ни с одной другой центральноазиатской страной","Markaziy Osiyodagi boshqa to'rtta davlat bilan chegaradosh bo'lish","Use a different official alphabet from all its neighbors","Mieć dostęp do Morza Kaspijskiego","Nie mieć granicy lądowej z żadnym innym krajem Azji Środkowej","Uzbekistan is unique in Central Asia for being the only country in the region to do what?","Використовувати алфавіт, відмінний від усіх сусідів","O'zbekiston Markaziy Osiyoda o'ziga xos, chunki u mintaqadagi yagona davlat bo'lib, nima qiladi?","Межувати з усіма чотирма іншими країнами Центральної Азії","Have a coastline on the Caspian Sea","Boshqa hech qanday Markaziy Osiyo davlati bilan quruqlik chegarasiga ega bo'lmaslik","Граничить со всеми четырьмя другими странами Центральной Азии","Использовать алфавит, отличный от всех соседей","Share no land border with any other Central Asian country","Kaspiy dengiziga chiqish imkoniga ega bo'lish","Узбекистан унікальний в Центральній Азії тим, що є єдиною країною регіону, яка робить що?","Używać innego alfabetu urzędowego niż wszyscy sąsiedzi","Graniczyć ze wszystkimi czterema innymi krajami Azji Środkowej","7104c3c37c3943379889661b","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Площа Революції","Как называлась площадь Мустакиллик (площадь Независимости), центральная площадь Ташкента, в советскую эпоху?","Площа Маркса","A","Lenin Square","Jak nazywał się Plac Mustakillik (Plac Niepodległości), centralny plac Taszkentu, w epoce radzieckiej?","Площадь Маркса","Qizil maydon","Площадь Революции","Lenin maydoni","Red Square","Plac Marksa","Plac Rewolucji","Mustaqillik Maydoni (Independence Square), the central square of Tashkent, was known by what name during the Soviet era?","Червона площа","Toshkentning markaziy maydoni bo'lgan Mustaqillik maydoni sovet davrida qanday nom bilan atalgan?","Площа Леніна","Marx Square","Inqilob maydoni","Площадь Ленина","Красная площадь","Revolution Square","Marks maydoni","Як називалася площа Мустакілік (площа Незалежності), центральна площа Ташкента, в радянську епоху?","Plac Czerwony","Plac Lenina","22ae0440053a450a881c4efd","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Бухари","Музей, посвящённый наследию Амира Темура, с характерным голубым куполом, является достопримечательностью какого города?","Самарканда","A","Tashkent","Muzeum poświęcone dziedzictwu Amira Timura, z charakterystyczną niebieską kopułą, jest zabytkiem którego miasta?","Самарканда","Shahrisabz","Бухары","Toshkent","Shakhrisabz","Samarkandy","Buchary","The museum dedicated to Amir Temur's legacy, with its distinctive blue dome, is a landmark of which city?","Шахрісабза","O'ziga xos ko'k gumbazli, Amir Temur merosiga bag'ishlangan muzey qaysi shaharning diqqatga sazovor joyi hisoblanadi?","Ташкента","Samarkand","Buxoro","Ташкента","Шахрисабза","Bukhara","Samarqand","Музей, присвячений спадщині Аміра Темура, з характерним блакитним куполом, є пам'яткою якого міста?","Szachrisabzu","Taszkentu","0bda4bfa49444bd8b45b3dbe","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Давньої Ферганы","Хорезмская область в низовьях Амударьи является исторической территорией какой древней цивилизации?","Давньої Согдіани","A","Ancient Khwarazm","Region Chorezmu, w dolnym biegu Amu-darii, jest historyczną ojczyzną jakiej starożytnej cywilizacji?","Древней Согдианы","Qadimgi Baqtriya","Древней Ферганы","Qadimgi Xorazm","Ancient Bactria","Starożytnej Sogdiany","Starożytnej Fergany","The Xorazm (Khorezm) Region, in the lower reaches of the Amu Darya, is the historic heartland of which ancient civilization?","Давньої Бактрії","Amudaryoning quyi oqimida joylashgan Xorazm viloyati qaysi qadimiy tsivilizatsiyaning tarixiy o'lkasi hisoblanadi?","Давнього Хорезму","Ancient Sogdiana","Qadimgi Farg'ona","Древнего Хорезма","Древней Бактрии","Ancient Fergana","Qadimgi Sug'diyona","Хорезмська область у нижній течії Амудар'ї є історичною територією якої давньої цивілізації?","Starożytnej Baktrii","Starożytnego Chorezmu","ec6d2ed601fb45c29d2191b4","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Того, що назви станцій ніде не вказані","Ташкентское метро, первое в Центральной Азии, особенно примечательно какой особенностью многих своих станций?","Повної відсутності будь-якого оформлення","A","Elaborate Soviet-era decorative art and design","Metro w Taszkencie, pierwsze w Azji Środkowej, jest szczególnie znane z jakiej cechy wielu swoich stacji?","Полного отсутствия какого-либо оформления","Ularning barchasi yer usti qurilganligi","Того, что названия станций нигде не указаны","Sovet davri boy dekorativ san'ati va dizayni","Being built entirely above ground","Całkowitego braku jakiejkolwiek dekoracji","Tego, że nazwy stacji nigdzie nie są wyświetlane","The Tashkent Metro, Central Asia's first, is especially notable for what feature of many of its stations?","Того, що всі вони побудовані повністю над землею","Markaziy Osiyodagi birinchi Toshkent metrosi o'z stansiyalarining ayniqsa qaysi xususiyati bilan ajralib turadi?","Багатого декоративного оформлення радянської епохи","Complete lack of any decoration","Stansiya nomlari hech qayerda ko'rsatilmaganligi","Богатого декоративного оформления советской эпохи","Того, что все они построены полностью над землёй","Having no station names displayed","Har qanday bezakning butunlay yo'qligi","Ташкентське метро, перше в Центральній Азії, особливо примітне якою особливістю багатьох своїх станцій?","Tego, że wszystkie zbudowane są całkowicie nad ziemią","Bogatej dekoracyjnej sztuki i designu z epoki radzieckiej","a2d5543d3cd34ccc8a71052a","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Чотирма","С каким количеством стран граничит Узбекистан по суше?","Трьома","A","Five","Z iloma krajami Uzbekistan graniczy lądowo?","Тремя","Yettita","Четырьмя","Beshta","Seven","Trzema","Czterema","How many countries does Uzbekistan share a land border with?","Сімома","O'zbekiston nechta davlat bilan quruqlik chegarasiga ega?","П'ятьма","Three","To'rtta","Пятью","Семью","Four","Uchta","З якою кількістю країн межує Узбекистан по суходолу?","Siedmioma","Pięcioma","60b46d112dd64390aba84d74","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Занедбаним містом-привидом","Во время советско-афганской войны (1979–1989) город Термез служил советским войскам главным образом чем?","Табором для військовополонених","A","A key staging and supply base near the border","Podczas wojny radziecko-afgańskiej (1979-1989) miasto Termez służyło wojsku radzieckiemu głównie jako co?","Лагерем для военнопленных","Harbiy-dengiz kemasozlik zavodi","Заброшенным городом-призраком","Chegara yaqinidagi asosiy tayyorgarlik va ta'minot bazasi","A naval shipyard","Obozem jenieckim","Opuszczonym miastem widmo","During the Soviet-Afghan War (1979-1989), the city of Termez served the Soviet military primarily as what?","Військово-морською верф'ю","Sovet-Afg'on urushi (1979-1989) davomida Termiz shahri Sovet armiyasi uchun asosan nima vazifasini bajargan?","Ключовою перевалочною та постачальницькою базою біля кордону","A prisoner-of-war camp","Tashlab ketilgan arvohlar shahri","Ключевой перевалочной и снабженческой базой у границы","Военно-морской верфью","An abandoned ghost town","Harbiy asirlar lageri","Під час радянсько-афганської війни (1979–1989) місто Термез слугувало радянським військам головним чином чим?","Stocznią marynarki wojennej","Kluczową bazą przerzutową i zaopatrzeniową przy granicy","c2a4238a04d043809c364efd","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"«Захисник віри»","Как традиционно переводится почётный титул Амира Темура «Сахибкиран»?","«Цар царів»","A","Lord of the Auspicious Conjunction","Jak tradycyjnie tłumaczy się honorowy tytuł Amira Timura ""Sahibkiran""?","«Царь царей»","""Yer yuzidagi Xudo soyasi""","«Защитник веры»","""Baxtli yulduzlar birikuvi sohibi""","Shadow of God on Earth","""Król królów""","""Obrońca wiary""","""Sahibqiron"", the honorific title of Amir Temur, is traditionally translated as what?","«Тінь Бога на землі»","Amir Temurning ""Sohibqiron"" faxriy unvoni an'anaviy ravishda qanday tarjima qilinadi?","«Владика сприятливого поєднання зірок»","King of Kings","""Din himoyachisi""","«Владыка благоприятного сочетания звёзд»","«Тень Бога на земле»","Defender of the Faith","""Shohlar shohi""","Як традиційно перекладається почесний титул Аміра Темура «Сахібкиран»?","""Cień Boga na ziemi""","""Władca pomyślnej koniunkcji""","876e30349a3a44cd81023d62","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Чотирьох","Из скольких палат состоит Олий Мажлис, парламент Узбекистана?","Однієї","A","Two (a Legislative Chamber and a Senate)","Ile izb liczy Olij Madżlis, parlament Uzbekistanu?","Одной","Uchta","Четырёх","Ikkita (Qonunchilik palatasi va Senat)","Three","Jednej","Czterech","The Oliy Majlis, the parliament of Uzbekistan, consists of how many chambers?","Трьох","O'zbekiston parlamenti bo'lgan Oliy Majlis nechta palatadan iborat?","Двох (Законодавчої палати та Сенату)","One","To'rtta","Двух (Законодательной палаты и Сената)","Трёх","Four","Bitta","Із скількох палат складається Олій Мажліс, парламент Узбекистану?","Trzech","Dwóch (Izby Ustawodawczej i Senatu)","e9694e9913f9477a81220028","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Національна бібліотека імені Чолпана","Какая крупная библиотека Ташкента, названная в честь прославленного поэта, является одной из крупнейших в Центральной Азии?","Національна бібліотека імені Улугбека","A","The Alisher Navoiy National Library","Która duża biblioteka w Taszkencie, nazwana na cześć wybitnego poety, jest jedną z największych w Azji Środkowej?","Национальная библиотека имени Улугбека","Bobur nomidagi Milliy kutubxona","Национальная библиотека имени Чолпана","Alisher Navoiy nomidagi Milliy kutubxona","The Babur National Library","Narodowa Biblioteka im. Uługbeka","Narodowa Biblioteka im. Czolpana","Which major library in Tashkent, named after a celebrated poet, is one of the largest in Central Asia?","Національна бібліотека імені Бабура","Buyuk shoir nomi bilan atalgan Toshkentdagi qaysi yirik kutubxona Markaziy Osiyodagi eng kattalaridan biri hisoblanadi?","Національна бібліотека імені Алішера Навої","The Ulugbek National Library","Cho'lpon nomidagi Milliy kutubxona","Национальная библиотека имени Алишера Навои","Национальная библиотека имени Бабура","The Cho'lpon National Library","Ulug'bek nomidagi Milliy kutubxona","Яка велика бібліотека Ташкента, названа на честь прославленого поета, є однією з найбільших у Центральній Азії?","Narodowa Biblioteka im. Babura","Narodowa Biblioteka im. Alishera Nawoiego","754bd34813b64ccea55d5bd5","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Наманган","Наряду с Бухарой, какой город считается одним из древнейших непрерывно населённых городов Центральной Азии, чья история насчитывает около 2700 лет?","Ташкент","A","Samarkand","Obok Buchary, które miasto jest uważane za jedno z najstarszych nieprzerwanie zamieszkałych miast Azji Środkowej, którego historia sięga około 2700 lat?","Ташкент","Andijon","Наманган","Samarqand","Andijan","Taszkent","Namangan","Along with Bukhara, which city is considered among the oldest continuously inhabited cities in Central Asia, with roots going back around 2,700 years?","Андижан","Buxoro bilan bir qatorda, tarixi taxminan 2700 yilga borib taqaladigan, Markaziy Osiyoning eng qadimiy uzluksiz aholi yashaydigan shaharlaridan biri qaysi?","Самарканд","Tashkent","Namangan","Самарканд","Андижан","Namangan","Toshkent","Разом з Бухарою, яке місто вважається одним із найдавніших безперервно заселених міст Центральної Азії, чия історія налічує близько 2700 років?","Andiżan","Samarkanda","921e188b57f84100926135f5","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Мідних гравюр","Чем славится сегодня село Кониджил близ Самарканда, где было возрождено традиционное ручное изготовление чего?","Шовкових килимів","A","Traditional mulberry paper (Samarkand paper)","Wieś Konigil koło Samarkandy jest dziś znana z przywrócenia tradycyjnego rzemiosła ręcznego wyrobu czego?","Шёлковых ковров","Keramik plitkalar","Медных гравюр","An'anaviy tut qog'ozi (Samarqand qog'ozi)","Ceramic tiles","Jedwabnych dywanów","Rytów miedzianych","The village of Konigil near Samarkand is known today for reviving the traditional craft of making what by hand?","Керамічних кахлів","Samarqand yaqinidagi Konigil qishlog'i bugungi kunda qo'lda nima tayyorlashning an'anaviy hunarini tiklaganligi bilan mashhur?","Традиційного шовковичного паперу (самаркандського паперу)","Silk carpets","Mis o'ymakorligi","Традиционной тутовой бумаги (самаркандской бумаги)","Керамических изразцов","Copper engravings","Ipak gilamlar","Чим славиться сьогодні село Конігіл поблизу Самарканда, де було відроджено традиційне ручне виготовлення чого?","Płytek ceramicznych","Tradycyjnego papieru morwowego (papieru samarkandzkiego)","bbee740aee114e13bddfe307","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Лише XVIII століття","Историки часто описывают Бухару как один из наиболее полно сохранившихся образцов средневекового города, поскольку её городская планировка какого периода сохранилась почти без изменений?","З XIX по XX століття","A","The 10th to 17th centuries","Historycy często opisują Bucharę jako jeden z najpełniej zachowanych przykładów średniowiecznego miasta, ponieważ jej układ urbanistyczny z których wieków przetrwał niemal niezmieniony?","С XIX по XX век","I-III asrlar","Только XVIII век","X-XVII asrlar","The 1st to 3rd centuries","Od XIX do XX wieku","Tylko XVIII wiek","Bukhara is often described by historians as one of the most complete surviving examples of a medieval city because its urban layout from which centuries has been preserved almost unchanged?","З I по III століття","Tarixchilar ko'pincha Buxoroni o'rta asr shaharining eng to'liq saqlanib qolgan namunalaridan biri deb ta'riflashadi, chunki uning qaysi asrlardagi shahar rejasi deyarli o'zgarishsiz saqlanib qolgan?","З X по XVII століття","The 19th to 20th centuries","Faqat XVIII asr","С X по XVII век","С I по III век","The 18th century alone","XIX-XX asrlar","Історики часто описують Бухару як один із найбільш повно збережених зразків середньовічного міста, оскільки її міське планування якого періоду збереглося майже без змін?","Od I do III wieku","Od X do XVII wieku","41be26b1a9084cbdb60f810f","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Колишній зороастрійський храм вогню, що ніколи не був мечеттю","Мечеть Хазрати Хизр в Самарканде, построенная по приказу арабского полководца Кутейбы ибн Муслима, считается чем?","Найбільшу мечеть у світі","A","The first mosque built in Central Asia","Meczet Chazrat Chizr w Samarkandzie, zbudowany na rozkaz arabskiego wodza Kutajby ibn Muslima, jest uważany za co?","Крупнейшую мечеть в мире","Sobiq buddaviy ibodatxona","Бывший зороастрийский храм огня, никогда не бывший мечетью","Markaziy Osiyoda qurilgan birinchi masjid","A former Buddhist temple","Największy meczet na świecie","Była świątynia ognia zoroastryjska, nigdy nie będąca meczetem","Hazrat Khizr Mosque in Samarkand, built on the order of the Arab general Qutayba ibn Muslim, is considered what?","Колишній буддійський храм","Arab sarkardasi Qutayba ibn Muslim buyrug'i bilan qurilgan Samarqanddagi Hazrati Xizr masjidi nima hisoblanadi?","Першу мечеть, побудовану в Центральній Азії","The largest mosque in the world","Hech qachon masjid bo'lmagan sobiq zardushtiylik olov ibodatxonasi","Первую мечеть, построенную в Центральной Азии","Бывший буддийский храм","A former Zoroastrian fire temple only, never a mosque","Dunyodagi eng katta masjid","Мечеть Хазраті Хизр у Самарканді, побудована за наказом арабського полководця Кутейби ібн Мусліма, вважається чим?","Była świątynia buddyjska","Pierwszy meczet zbudowany w Azji Środkowej","d89bf93446bf43f7abebde79","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Ташкента","Афрасиаб, городище которого находится к северу от современного центра города, является археологическим предшественником какого города?","Бухари","A","Samarkand","Afrasjab, starożytne stanowisko osadnicze, którego ruiny leżą tuż na północ od nowoczesnego centrum miasta, jest archeologicznym poprzednikiem którego miasta?","Бухары","Xiva","Ташкента","Samarqand","Khiva","Buchary","Taszkentu","Afrasiyab, an ancient settlement site whose ruins lie just north of the modern city center, is the archaeological predecessor of which city?","Хіви","Xarobalari zamonaviy shahar markazidan shimolda joylashgan qadimiy Afrosiyob shahri qaysi shaharning arxeologik salafi hisoblanadi?","Самарканда","Bukhara","Toshkent","Самарканда","Хивы","Tashkent","Buxoro","Афросіаб, городище якого знаходиться на північ від сучасного центру міста, є археологічним попередником якого міста?","Chiwy","Samarkandy","5f0eb6c335394d6cacb9b19e","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Кримське ханство","Какое ханство было одним из последних, полностью присоединённых к Российской империи в 1876 году, после правления его последнего хана Худаяр-хана?","Хивинське ханство","A","The Khanate of Kokand","Który chanat był jednym z ostatnich w pełni zaanektowanych przez Imperium Rosyjskie w 1876 roku, po panowaniu jego ostatniego chana, Chudajar-chana?","Хивинское ханство","Buxoro amirligi","Крымское ханство","Qo'qon xonligi","The Emirate of Bukhara","Chanat Chiwy","Chanat Krymski","Which khanate was among the last to be fully annexed by the Russian Empire, in 1876, after the reign of its final khan, Khudayar Khan?","Бухарський емірат","Oxirgi xoni Xudoyorxon hukmronligidan so'ng 1876-yilda Rossiya imperiyasi tarkibiga to'liq qo'shib olingan so'nggi xonliklardan biri qaysi edi?","Кокандське ханство","The Khanate of Khiva","Qrim xonligi","Кокандское ханство","Бухарский эмират","The Khanate of Crimea","Xiva xonligi","Яке ханство було одним із останніх, повністю приєднаних до Російської імперії у 1876 році, після правління його останнього хана Худаяр-хана?","Emirat Bucharski","Chanat Kokandu","f3548a94812b435795d54bce","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"«Земля вільних людей»","Что буквально означает название «Узбекистон» (Узбекистан)?","«Земля тисячі річок»","A","Land of the Uzbeks","Co dosłownie oznacza nazwa ""Uzbekiston"" (Uzbekistan)?","«Земля тысячи рек»","""Ikki daryo oralig'idagi yurt""","«Земля свободных людей»","""O'zbeklar yurti""","Land between two rivers","""Kraina tysiąca rzek""","""Kraina wolnych ludzi""","What does the name ""Uzbekiston"" (Uzbekistan) literally mean?","«Земля між двома річками»","""O'zbekiston"" nomi so'zma-so'z nimani anglatadi?","«Земля узбеків»","Land of a thousand rivers","""Erkin xalqlar yurti""","«Земля узбеков»","«Земля между двух рек»","Land of the free people","""Ming daryolar yurti""","Що буквально означає назва «Узбекистон» (Узбекистан)?","""Kraina między dwiema rzekami""","""Kraina Uzbeków""","d752903fdf4b448bb0b2a95e","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
"Кашкадар'їнська область","Какая из 12 областей (вилоятов) Узбекистана является самой маленькой по площади, при этом одной из самых густонаселённых?","Навоїйська область","A","Andijan Region","Które z 12 regionów (wiloyatów) Uzbekistanu jest najmniejsze pod względem powierzchni, mimo że jest jednym z najgęściej zaludnionych?","Навоийская область","Buxoro viloyati","Кашкадарьинская область","Andijon viloyati","Bukhara Region","Region Nawoi","Region Kaszkadaryjski","Which of Uzbekistan's 12 regions (viloyats) is the smallest by area, despite being one of the most densely populated?","Бухарська область","O'zbekistonning 12 viloyatidan qaysi biri, eng zich aholi joylashgan hududlaridan biri bo'lishiga qaramay, maydon jihatidan eng kichigi hisoblanadi?","Андижанська область","Navoiy Region","Qashqadaryo viloyati","Андижанская область","Бухарская область","Kashkadarya Region","Navoiy viloyati","Яка з 12 областей (вілоятів) Узбекистану є найменшою за площею, при цьому однією з найгустіше заселених?","Region Bucharski","Region Andiżański","50197591701147239140390f","2026-08-30T12:00:00","2026-08-30T12:00:00","7b3f2e9a1c4d8067f3a2e9b1","quiz-generator@example.com","false"
